
2024/09/30 (23:00:08) | ===> btop++ v.1.4.0
2024/09/30 (23:00:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (23:17:12) | ===> btop++ v.1.4.0
2024/09/30 (23:17:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (22:11:12) | ===> btop++ v.1.4.0
2024/10/04 (22:11:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (09:24:48) | ===> btop++ v.1.4.0
2024/12/08 (09:24:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (22:33:33) | ===> btop++ v.1.4.0
2024/12/08 (22:33:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (22:33:55) | ===> btop++ v.1.4.0
2024/12/08 (22:33:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (00:13:54) | ===> btop++ v.1.4.0
2024/12/22 (00:13:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (23:27:43) | ===> btop++ v.1.4.0
2024/12/25 (23:27:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:14:38) | ===> btop++ v.1.4.0
2024/12/31 (10:14:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:57:14) | ===> btop++ v.1.4.0
2024/12/31 (10:57:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (13:44:15) | ===> btop++ v.1.4.0
2024/12/31 (13:44:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (13:50:29) | ===> btop++ v.1.4.0
2025/01/02 (13:50:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (14:10:19) | ===> btop++ v.1.4.0
2025/01/02 (14:10:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (14:28:45) | ===> btop++ v.1.4.0
2025/01/02 (14:28:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (21:45:04) | ===> btop++ v.1.4.0
2025/01/02 (21:45:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (10:46:08) | ===> btop++ v.1.4.0
2025/01/03 (10:46:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (11:02:56) | ===> btop++ v.1.4.0
2025/01/03 (11:02:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (11:51:33) | ===> btop++ v.1.4.0
2025/01/03 (11:51:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (10:17:49) | ===> btop++ v.1.4.0
2025/01/10 (10:17:49) | WARNING: Intel GPU: Failed to initialize PMU
